"involvedStates","basinSize"
"0",110592
"362496",20480
"593921",508928
"886784",15360
"1052674",110592
"1411072",20480
"1642507",42880
"1642497",459776
"1576962",6272
"1935360",15360
"2097188",110592
"2459652",20480
"2691117",508928
"2983940",15360
"3149862",110592
"3508228",20480
"3739695",42880
"3739693",459776
"3674150",6272
"4032516",15360
"4194304",110592
"4556800",20480
"4788225",508928
"5081088",15360
"5246978",110592
"5605376",20480
"5836811",42880
"5836801",459776
"5771266",6272
"6129664",15360
"6555700",524288
"6885437",524288
"7608374",524288
"7934015",229888
"7934013",224256
"8132662",70144
"8388768",110592
"8751232",20480
"8982697",508928
"9275520",15360
"9441442",110592
"9799808",20480
"10031275",42880
"10031273",459776
"9965730",6272
"10324096",15360
"10485924",110592
"10848388",20480
"11079853",508928
"11372676",15360
"11538598",110592
"11896964",20480
"12128431",42880
"12128429",459776
"12062886",6272
"12421252",15360
"12847152",524288
"13176889",524288
"13899826",524288
"14225467",229888
"14225465",224256
"14424114",70144
"14944308",524288
"15274045",524288
"15996982",524288
"16322623",229888
"16322621",224256
"16521270",70144
"16777216",110592
"17139712",20480
"17371137",508928
"17664000",15360
"17829890",110592
"18188288",20480
"18419723",42880
"18419713",459776
"18354178",6272
"18712576",15360
"18874404",110592
"19236868",20480
"19468333",508928
"19761156",15360
"19927078",110592
"20285444",20480
"20516911",42880
"20516909",459776
"20451366",6272
"20809732",15360
"20971520",110592
"21334016",20480
"21565441",508928
"21858304",15360
"22024194",110592
"22382592",20480
"22614027",42880
"22614017",459776
"22548482",6272
"22906880",15360
"23332916",524288
"23662653",524288
"24385590",524288
"24711231",229888
"24711229",224256
"24909878",70144
"25166048",110592
"25528512",20480
"25759913",508928
"26052800",15360
"26218722",110592
"26577088",20480
"26808491",42880
"26808489",459776
"26743010",6272
"27101376",15360
"27263204",110592
"27625668",20480
"27857069",508928
"28149956",15360
"28315878",110592
"28674244",20480
"28905647",42880
"28905645",459776
"28840166",6272
"29198532",15360
"29624368",524288
"29954105",524288
"30677042",524288
"31002683",229888
"31002681",224256
"31201330",70144
"31721524",524288
"32051261",524288
"32774198",524288
"33099839",229888
"33099837",224256
"33298486",70144
"33554432",110592
"33851392",20480
"34082817",524288
"34607106",110592
"34899968",20480
"35131403",44032
"35131393",475136
"35131394",5120
"35651620",67488
"35799332",224
"35948548",20480
"36180013",399392
"36327725",224
"36704294",67488
"36852006",224
"36997124",20480
"37228591",25104
"37228589",371300
"37228582",2988
"37376303",168
"37376301",44
"37376294",12
"37748736",110592
"38045696",20480
"38277121",524288
"38801410",110592
"39094272",20480
"39325707",44032
"39325697",475136
"39325698",5120
"40110132",336960
"40257844",704
"40374333",336960
"40522045",704
"41162806",336960
"41310518",704
"41422911",160176
"41422909",150264
"41687094",26520
"41570623",528
"41570621",88
"41834806",88
"41943200",73248
"42090912",96
"42240128",20480
"42471593",427168
"42619305",96
"42995874",73248
"43143586",96
"43288704",20480
"43520171",27120
"43520169",397060
"43520162",2988
"43667883",72
"43667881",12
"43667874",12
"44040356",67488
"44188068",224
"44337284",20480
"44568749",399392
"44716461",224
"45093030",67488
"45240742",224
"45385860",20480
"45617327",25104
"45617325",371300
"45617318",2988
"45765039",168
"45765037",44
"45765030",12
"46401584",336960
"46549296",704
"46665785",336960
"46813497",704
"47454258",336960
"47601970",704
"47714363",160176
"47714361",150264
"47978546",26520
"47862075",528
"47862073",88
"48126258",88
"48498740",336960
"48646452",704
"48762941",336960
"48910653",704
"49551414",336960
"49699126",704
"49811519",160176
"49811517",150264
"50075702",26520
"49959231",528
"49959229",88
"50223414",88
"50331648",110592
"50628608",20480
"50860033",524288
"51384322",110592
"51677184",20480
"51908619",44032
"51908609",475136
"51908610",5120
"52428836",67488
"52576548",224
"52725764",20480
"52957229",399392
"53104941",224
"53481510",67488
"53629222",224
"53774340",20480
"54005807",25104
"54005805",371300
"54005798",2988
"54153519",168
"54153517",44
"54153510",12
"54525952",110592
"54822912",20480
"55054337",524288
"55578626",110592
"55871488",20480
"56102923",44032
"56102913",475136
"56102914",5120
"56887348",336960
"57035060",704
"57151549",336960
"57299261",704
"57940022",336960
"58087734",704
"58200127",160176
"58200125",150264
"58464310",26520
"58347839",528
"58347837",88
"58612022",88
"58720480",73248
"58868192",96
"59017408",20480
"59248809",427168
"59396521",96
"59773154",73248
"59920866",96
"60065984",20480
"60297387",27120
"60297385",397060
"60297442",2988
"60445099",72
"60445097",12
"60445154",12
"60817636",67488
"60965348",224
"61114564",20480
"61345965",399392
"61493677",224
"61870310",67488
"62018022",224
"62163140",20480
"62394543",25104
"62394541",371300
"62394598",2988
"62542255",168
"62542253",44
"62542310",12
"63178800",336960
"63326512",704
"63443001",336960
"63590713",704
"64231474",336960
"64379186",704
"64491579",160176
"64491577",150264
"64755762",26520
"64639291",528
"64639289",88
"64903474",88
"65275956",336960
"65423668",704
"65540157",336960
"65687869",704
"66328630",336960
"66476342",704
"66588735",160176
"66588733",150264
"66852918",26520
"66736447",528
"66736445",88
"67000630",88
"67485184",524288
"67712513",303616
"67702785",65536
"68009472",155136
"68533760",516096
"68161538",8192
"68761099",35840
"68761089",272128
"68751361",59392
"68685826",2048
"68751371",6144
"69058048",148736
"69582340",524288
"69809669",303616
"69799981",65536
"70106628",155136
"70630916",516096
"70258726",8192
"70858255",35840
"70858245",272128
"70848557",59392
"70783014",2048
"70848559",6144
"71155204",148736
"71679488",524288
"71906817",303616
"71897089",65536
"72203776",155136
"72728064",516096
"72355842",8192
"72955403",35840
"72955393",272128
"72945665",59392
"72880130",2048
"72945675",6144
"73252352",148736
"73743892",524288
"74003989",311296
"73994301",65536
"74268180",147456
"74792470",241664
"74717238",24576
"74792468",258048
"75052575",130560
"75042877",53248
"75241526",12288
"75042879",12288
"75316756",87040
"75052565",171008
"75316758",57856
"75873920",524288
"76101249",303616
"76091561",65536
"76398208",155136
"76922496",516096
"76550306",8192
"77149835",35840
"77149825",272128
"77140137",59392
"77074594",2048
"77140139",6144
"77446784",148736
"77971076",524288
"78198405",303616
"78188717",65536
"78495364",155136
"79019652",516096
"78647462",8192
"79246991",35840
"79246981",272128
"79237293",59392
"79171750",2048
"79237295",6144
"79543940",148736
"80035344",524288
"80295441",311296
"80285753",65536
"80559632",147456
"81083922",241664
"81008690",24576
"81083920",258048
"81344027",130560
"81334329",53248
"81532978",12288
"81334331",12288
"81608208",87040
"81344017",171008
"81608210",57856
"82132500",524288
"82392597",311296
"82382909",65536
"82656788",147456
"83181078",241664
"83105846",24576
"83181076",258048
"83441183",130560
"83431485",53248
"83630134",12288
"83431487",12288
"83705364",87040
"83441173",171008
"83705366",57856
"84262400",524288
"84489729",303616
"84480001",65536
"84786688",155136
"85310976",516096
"84938754",8192
"85538315",35840
"85538305",272128
"85528577",59392
"85463042",2048
"85528587",6144
"85835264",148736
"86359556",524288
"86586885",303616
"86577197",65536
"86883844",155136
"87408132",516096
"87035942",8192
"87635471",35840
"87635461",272128
"87625773",59392
"87560230",2048
"87625775",6144
"87932420",148736
"88456704",524288
"88684033",303616
"88674305",65536
"88980992",155136
"89505280",516096
"89133058",8192
"89732619",35840
"89732609",272128
"89722881",59392
"89657346",2048
"89722891",6144
"90029568",148736
"90521108",524288
"90781205",311296
"90771517",65536
"91045396",147456
"91569686",241664
"91494454",24576
"91569684",258048
"91829791",130560
"91820093",53248
"92018742",12288
"91820095",12288
"92093972",87040
"91829781",171008
"92093974",57856
"92651200",524288
"92878465",303616
"92868777",65536
"93175488",155136
"93699776",516096
"93327586",8192
"93927051",35840
"93927041",272128
"93917353",59392
"93851874",2048
"93917355",6144
"94224064",148736
"94748356",524288
"94975621",303616
"94965933",65536
"95272644",155136
"95796932",516096
"95424742",8192
"96024207",35840
"96024197",272128
"96014509",59392
"95949030",2048
"96014511",6144
"96321220",148736
"96812560",524288
"97072657",311296
"97062969",65536
"97336848",147456
"97861138",241664
"97785906",24576
"97861136",258048
"98121243",130560
"98111545",53248
"98310194",12288
"98111547",12288
"98385424",87040
"98121233",171008
"98385426",57856
"98909716",524288
"99169813",311296
"99160125",65536
"99434004",147456
"99958294",241664
"99883062",24576
"99958292",258048
"100218399",130560
"100208701",53248
"100407350",12288
"100208703",12288
"100482580",87040
"100218389",171008
"100482582",57856
"100974080",524288
"101201409",344064
"101191681",65536
"101498368",114688
"102022656",516096
"101715970",8192
"102249995",36864
"102249985",305152
"102240257",59392
"102240258",2048
"102240267",6144
"102546944",114688
"103071236",524288
"103298565",344064
"103288877",44072
"103595524",114688
"103436589",88
"104119812",516096
"103813158",4104
"103960870",56
"104347151",36864
"104347141",305152
"104337453",41012
"104337446",1044
"104337455",3060
"104644100",114688
"104485165",44
"104485158",12
"104485167",44
"105168384",524288
"105395713",344064
"105385985",65536
"105692672",114688
"106216960",516096
"105910274",8192
"106444299",36864
"106444289",305152
"106434561",59392
"106434562",2048
"106434571",6144
"106741248",114688
"107232788",524288
"107492885",344064
"107483197",37776
"107757076",114688
"107630909",176
"108281366",241664
"108271670",12240
"108281364",258048
"108419382",176
"108541471",157696
"108531773",31656
"108795958",6120
"108531775",6120
"108805652",83968
"108541461",174080
"108805654",30720
"108679485",88
"108943670",88
"108679487",88
"109362816",524288
"109590145",344064
"109580457",50792
"109887104",114688
"109728169",24
"110411392",516096
"110104738",4776
"110252450",24
"110638731",36864
"110638721",305152
"110629033",47060
"110629026",1044
"110629035",3732
"110935680",114688
"110776745",12
"110776738",12
"110776747",12
"111459972",524288
"111687301",344064
"111677613",44072
"111984260",114688
"111825325",88
"112508548",516096
"112201894",4104
"112349606",56
"112735887",36864
"112735877",305152
"112726189",41012
"112726182",1044
"112726191",3060
"113032836",114688
"112873901",44
"112873894",12
"112873903",44
"113524240",524288
"113784337",344064
"113774649",37776
"114048528",114688
"113922361",176
"114572818",241664
"114563122",12240
"114572816",258048
"114710834",176
"114832923",157696
"114823225",31656
"115087410",6120
"114823227",6120
"115097104",83968
"114832913",174080
"115097106",30720
"114970937",88
"115235122",88
"114970939",88
"115621396",524288
"115881493",344064
"115871805",37776
"116145684",114688
"116019517",176
"116669974",241664
"116660278",12240
"116669972",258048
"116807990",176
"116930079",157696
"116920381",31656
"117184566",6120
"116920383",6120
"117194260",83968
"116930069",174080
"117194262",30720
"117068093",88
"117332278",88
"117068095",88
"117751296",524288
"117978625",344064
"117968897",65536
"118275584",114688
"118799872",516096
"118493186",8192
"119027211",36864
"119027201",305152
"119017473",59392
"119017474",2048
"119017483",6144
"119324160",114688
"119848452",524288
"120075781",344064
"120066093",44072
"120372740",114688
"120213805",88
"120897028",516096
"120590374",4104
"120738086",56
"121124367",36864
"121124357",305152
"121114669",41012
"121114662",1044
"121114671",3060
"121421316",114688
"121262381",44
"121262374",12
"121262383",44
"121945600",524288
"122172929",344064
"122163201",65536
"122469888",114688
"122994176",516096
"122687490",8192
"123221515",36864
"123221505",305152
"123211777",59392
"123211778",2048
"123211787",6144
"123518464",114688
"124010004",524288
"124270101",344064
"124260413",37776
"124534292",114688
"124408125",176
"125058582",241664
"125048886",12240
"125058580",258048
"125196598",176
"125318687",157696
"125308989",31656
"125573174",6120
"125308991",6120
"125582868",83968
