label,WT,STAT1_0,STAT5_0,IL1R_0,IL12_out_0,FCGR_0,NFKB_0,VEGF_out_0,TLR4_0,IL6_out_0,KLF4_0,STAT6_0,IL10_out_0,SOCS1_0,PPARG_0,STAT3_IL6_0,STAT3_IL10_0,SOCS3_0,IL6R_0,IL10R_0,IFNG_e_0,GMCSF_e_0,IL1B_e_0,IC_e_0,LPS_e_0,NECA_e_0,EGFR_e_0,IL4_e_0,IL6_e_0,IL10_e_0,STAT1_1,STAT5_1,IL1R_1,IL12_out_1,FCGR_1,NFKB_1,VEGF_out_1,TLR4_1,IL6_out_1,KLF4_1,STAT6_1,IL10_out_1,SOCS1_1,PPARG_1,STAT3_IL6_1,STAT3_IL10_1,SOCS3_1,IL6R_1,IL10R_1,IFNG_e_1,GMCSF_e_1,IL1B_e_1,IC_e_1,LPS_e_1,NECA_e_1,EGFR_e_1,IL4_e_1,IL6_e_1,IL10_e_1
M0,24,32,32,36,32,24,48,24,36,56,24,48,344,24,24,48,48,24,48,48,16,16,24,12,24,12,12,24,24,24,16,16,0,0,0,0,0,0,0,48,0,0,64,0,0,0,48,0,0,8,8,0,12,0,12,12,0,0,0
M0*,0,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
il6,0,0,0,0,0,0,0,0,0,0,0,0,128,0,0,88,0,112,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,0,88,112,0,0,0,0,0,0,0,0,0,0,0
il6*,304,560,328,140,560,368,144,336,424,0,304,608,1072,304,304,32,608,56,32,608,280,164,256,184,272,168,128,304,128,304,48,280,128,0,0,128,0,80,352,144,0,0,192,0,32,0,32,32,0,24,140,48,120,32,136,176,0,176,0
M1,8,0,0,12,0,8,16,8,12,40,8,16,8,8,8,88,16,88,88,16,0,0,8,4,8,4,4,8,8,8,16,16,0,24,0,0,0,0,0,16,0,0,0,0,80,0,88,80,0,8,8,0,4,0,4,4,0,0,0
M1*,256,0,232,68,0,320,48,288,352,160,256,512,448,256,256,32,512,40,32,512,0,116,208,160,224,144,112,256,112,256,512,280,128,552,0,128,0,80,288,48,0,0,0,0,32,0,32,32,0,256,140,48,96,32,112,144,0,144,0
M2a,256,256,256,256,256,384,256,320,320,256,256,0,0,256,256,256,128,128,256,128,128,128,160,192,192,160,128,0,128,128,256,256,256,0,0,0,0,160,0,256,512,256,256,256,0,256,256,0,256,128,128,96,64,64,96,128,256,128,128
M2a*,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M2b,128,128,128,128,128,192,128,160,160,0,128,256,0,128,128,224,0,352,224,0,64,64,80,96,96,80,0,128,64,64,128,128,128,0,0,256,0,80,256,128,0,128,128,128,352,320,224,352,128,64,64,48,32,32,48,128,0,64,64
M2b*,408,656,424,380,656,352,448,476,448,0,408,816,0,408,408,152,192,348,152,192,328,212,178,176,212,238,168,408,192,312,160,344,464,0,512,384,0,266,480,448,0,192,576,288,208,0,152,208,192,80,196,230,232,196,170,240,0,216,96
