attractor,label,state,IL12_out,IL6_out,IL10_out,VEGF_out,,NFKB,IL1R,FCGR,TLR4,KLF4,PPARG,STAT1,STAT5,STAT6,IL6R,STAT3_IL6,IL10R,STAT3_IL10,SOCS1,SOCS3,IFNG_e,GMCSF_e,IL1B_e,IC_e,LPS_e,NECA_e,EGFR_e,IL4_e,IL6_e,IL10_e
1,M1,1,1,0,0,0,,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,1,1,1,0
10,M1,1,1,0,0,0,,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,1,0,0
100,M2,1,0,0,1,0,,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,1,0
1000,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0
1001,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,1,0
1002,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1,0,0
1003,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,0
1004,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0
1005,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0
1006,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0
1007,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0
1008,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0
1009,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,0
101,M2,1,0,0,1,0,,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,1
1010,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,1,0,0
1011,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
1012,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0
1013,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0
1014,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0
1015,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0
1016,M0,1,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0
1017,M0,1,0,0,0,0,,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,1,0
1018,M0,1,0,0,0,0,,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,1,0,1,0,0
1019,M0,1,0,0,0,0,,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,0
102,M2,1,0,0,1,0,,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,0
