involvedStates,basinSize
0,3328
362496,155648
524289,3328
886785,155648
1048578,3328
1411072,155648
1572875,3328
1935361,155648
2459652,155648
2983941,155648
3508228,155648
4032517,155648
4194304,3328
4556800,155648
4718593,3328
5081089,155648
5242882,3328
5605376,155648
5767179,3328
6129665,155648
8751232,155648
9275521,155648
9799808,155648
10324097,155648
10848388,155648
11372677,155648
11896964,155648
12421253,155648
16777216,3328
17139712,155648
17301505,3328
17664001,155648
17825794,3328
18188288,155648
18350091,3328
18712577,155648
19236868,155648
19761157,155648
20285444,155648
20809733,155648
20971520,3328
21334016,155648
21495809,3328
21858305,155648
22020098,3328
22382592,155648
22544395,3328
22906881,155648
25528512,155648
26052801,155648
26577088,155648
27101377,155648
27625668,155648
28149957,155648
28674244,155648
29198533,155648
33554432,416
33916928,5440
33917184,150208
34078721,416
34441217,5440
34441473,150208
34603010,416
34965504,5440
34965760,150208
35127307,416
35489793,5440
35490049,150208
36014084,5440
36014340,150208
36538373,5440
36538629,150208
37062660,5440
37062916,150208
37586949,5440
37587205,150208
37748736,416
38111232,5440
38111488,150208
38273025,416
38635521,5440
38635777,150208
38797314,416
39159808,5440
39160064,150208
39321611,416
39684097,5440
39684353,150208
42305664,5440
42305920,150208
42829953,5440
42830209,150208
43354240,5440
43354496,150208
43878529,5440
43878785,150208
44402820,5440
44403076,150208
44927109,5440
44927365,150208
45451396,5440
45451652,150208
45975685,5440
45975941,150208
50331648,416
50694144,5440
50694400,150208
50855937,416
51218433,5440
51218689,150208
51380226,416
51742720,5440
51742976,150208
51904523,416
52267009,5440
52267265,150208
52791300,5440
52791556,150208
53315589,5440
53315845,150208
53839876,5440
53840132,150208
54364165,5440
54364421,150208
54525952,416
54888448,5440
54888704,150208
55050241,416
55412737,5440
55412993,150208
55574530,416
55937024,5440
55937280,150208
56098827,416
56461313,5440
56461569,150208
59082944,5440
59083200,150208
59607233,5440
59607489,150208
60131520,5440
60131776,150208
60655809,5440
60656065,150208
61180100,5440
61180356,150208
61704389,5440
61704645,150208
62228676,5440
62228932,150208
62752965,5440
62753221,150208
67485184,524288
68009472,524288
68533760,524288
