final,initial,genes,values,initial_label,final_label
  2691117,  2983940,EGFR_e,1,M2c,M1
  2691117,  2983940,FCGR,1,M2c,M1
  2691117,  2983940,IC_e,1,M2c,M1
  2691117,  2983940,IL10_out,0,M2c,M1
  2691117,  2983940,IL10R,0,M2c,M1
  2691117,  2983940,SOCS3,0,M2c,M1
  2691117,  2983940,STAT1,1,M2c,M1
  2691117,  2983940,STAT3_IL10,0,M2c,M1
  3739693,  4032516,STAT3_IL10,0,M2c,M1
  3739693,  4032516,IL10R,0,M2c,M1
  3739693,  4032516,SOCS3,0,M2c,M1
  3739693,  4032516,STAT1,1,M2c,M1
  3739693,  4032516,IL10_out,0,M2c,M1
  3739693,  4032516,FCGR,1,M2c,M1
  3739693,  4032516,IC_e,1,M2c,M1
  3739693,  4032516,EGFR_e,1,M2c,M1
  7934015,  8132662,IC_e,0,M2,M1
  7934015,  8132662,IL1B_e,0,M2,M1
  7934015,  8132662,FCGR,0,M2,M1
  7934015,  8132662,GMCSF_e,0,M2,M1
  7934015,  8132662,STAT3_IL10,1,M2,M1
  7934015,  8132662,STAT5,0,M2,M1
  7934015,  8132662,SOCS1,0,M2,M1
  7934015,  8132662,STAT1,1,M2,M1
  8132662,  7934015,IFNG_e,0,M1,M2
  8132662,  7934015,STAT1,0,M1,M2
  8982697,  9275520,EGFR_e,1,M2c,M1
  8982697,  9275520,FCGR,1,M2c,M1
  8982697,  9275520,IC_e,1,M2c,M1
  8982697,  9275520,IL10_out,0,M2c,M1
  8982697,  9275520,IL10R,0,M2c,M1
  8982697,  9275520,SOCS3,0,M2c,M1
  8982697,  9275520,STAT1,1,M2c,M1
  8982697,  9275520,STAT3_IL10,0,M2c,M1
 10031273, 10324096,STAT3_IL10,0,M2c,M1
 10031273, 10324096,STAT1,1,M2c,M1
 10031273, 10324096,IL10_out,0,M2c,M1
 10031273, 10324096,IL10R,0,M2c,M1
 10031273, 10324096,SOCS3,0,M2c,M1
 10031273, 10324096,EGFR_e,1,M2c,M1
 10031273, 10324096,FCGR,1,M2c,M1
 10031273, 10324096,IC_e,1,M2c,M1
 11079853, 11372676,EGFR_e,1,M2c,M1
 11079853, 11372676,FCGR,1,M2c,M1
 11079853, 11372676,IC_e,1,M2c,M1
 11079853, 11372676,IL10_out,0,M2c,M1
 11079853, 11372676,IL10R,0,M2c,M1
 11079853, 11372676,SOCS3,0,M2c,M1
 11079853, 11372676,STAT1,1,M2c,M1
 11079853, 11372676,STAT3_IL10,0,M2c,M1
 12128429, 12421252,STAT3_IL10,0,M2c,M1
 12128429, 12421252,IL10R,0,M2c,M1
 12128429, 12421252,SOCS3,0,M2c,M1
 12128429, 12421252,STAT1,1,M2c,M1
 12128429, 12421252,IL10_out,0,M2c,M1
 12128429, 12421252,FCGR,1,M2c,M1
 12128429, 12421252,IC_e,1,M2c,M1
 12128429, 12421252,EGFR_e,1,M2c,M1
 14225467, 14424114,IC_e,0,M2,M1
 14225467, 14424114,LPS_e,0,M2,M1
 14225467, 14424114,FCGR,0,M2,M1
 14225467, 14424114,GMCSF_e,0,M2,M1
 14225467, 14424114,STAT3_IL10,1,M2,M1
 14225467, 14424114,STAT5,0,M2,M1
 14225467, 14424114,SOCS1,0,M2,M1
 14225467, 14424114,STAT1,1,M2,M1
 14424114, 14225467,IFNG_e,0,M1,M2
 14424114, 14225467,STAT1,0,M1,M2
 16322623, 16521270,IC_e,0,M2,M1
 16322623, 16521270,SOCS1,0,M2,M1
 16322623, 16521270,FCGR,0,M2,M1
 16322623, 16521270,GMCSF_e,0,M2,M1
 16322623, 16521270,STAT5,0,M2,M1
 16322623, 16521270,STAT1,1,M2,M1
 16322623, 16521270,STAT3_IL10,1,M2,M1
 16521270, 16322623,STAT1,0,M1,M2
 16521270, 16322623,IFNG_e,0,M1,M2
 19468333, 19761156,EGFR_e,1,M2c,M1
 19468333, 19761156,FCGR,1,M2c,M1
 19468333, 19761156,IC_e,1,M2c,M1
 19468333, 19761156,IL10_out,0,M2c,M1
 19468333, 19761156,IL10R,0,M2c,M1
 19468333, 19761156,SOCS3,0,M2c,M1
 19468333, 19761156,STAT1,1,M2c,M1
 19468333, 19761156,STAT3_IL10,0,M2c,M1
 20516909, 20809732,STAT3_IL10,0,M2c,M1
 20516909, 20809732,IL10R,0,M2c,M1
 20516909, 20809732,SOCS3,0,M2c,M1
 20516909, 20809732,STAT1,1,M2c,M1
 20516909, 20809732,IL10_out,0,M2c,M1
 20516909, 20809732,FCGR,1,M2c,M1
 20516909, 20809732,IC_e,1,M2c,M1
 20516909, 20809732,EGFR_e,1,M2c,M1
 24711231, 24909878,IC_e,0,M2,M1
 24711231, 24909878,IL1B_e,0,M2,M1
 24711231, 24909878,FCGR,0,M2,M1
 24711231, 24909878,GMCSF_e,0,M2,M1
 24711231, 24909878,STAT3_IL10,1,M2,M1
 24711231, 24909878,STAT5,0,M2,M1
 24711231, 24909878,SOCS1,0,M2,M1
 24711231, 24909878,STAT1,1,M2,M1
 24909878, 24711231,IFNG_e,0,M1,M2
 24909878, 24711231,STAT1,0,M1,M2
 25759913, 26052800,EGFR_e,1,M2d,M1
 25759913, 26052800,FCGR,1,M2d,M1
 25759913, 26052800,IC_e,1,M2d,M1
 25759913, 26052800,IL10_out,0,M2d,M1
 25759913, 26052800,IL10R,0,M2d,M1
 25759913, 26052800,SOCS3,0,M2d,M1
 25759913, 26052800,STAT1,1,M2d,M1
 25759913, 26052800,STAT3_IL10,0,M2d,M1
 26743010, 26808491,IFNG_e,0,M1,M2
 26743010, 26808491,STAT1,0,M1,M2
 26808489, 26743010,IL10_e,1,M2,M1
 26808489, 26743010,IL10_out,1,M2,M1
 26808489, 26743010,IL10R,1,M2,M1
 26808489, 26743010,STAT3_IL10,1,M2,M1
 26808489, 26743010,STAT6,1,M2,M1
 26808489, 27101376,STAT3_IL10,0,M2d,M1
 26808489, 27101376,IL10R,0,M2d,M1
 26808489, 27101376,SOCS3,0,M2d,M1
 26808489, 27101376,STAT1,1,M2d,M1
 26808489, 26743010,IC_e,1,M2,M1
 26808489, 26743010,FCGR,1,M2,M1
 26808489, 27101376,IL10_out,0,M2d,M1
 26808489, 27101376,FCGR,1,M2d,M1
 26808489, 27101376,IC_e,1,M2d,M1
 26808489, 27101376,EGFR_e,1,M2d,M1
 26808491, 26743010,SOCS1,0,M2,M1
 26808491, 26743010,STAT1,1,M2,M1
 26808491, 26743010,STAT5,0,M2,M1
 26808491, 26743010,GMCSF_e,0,M2,M1
 27857069, 28149956,EGFR_e,1,M2d,M1
 27857069, 28149956,FCGR,1,M2d,M1
 27857069, 28149956,IC_e,1,M2d,M1
 27857069, 28149956,IL10_out,0,M2d,M1
