"","initial","final","genes","values"
"1","109580457","109580457","EGFR_e","0"
"2","109580457","109580457","FCGR","1"
"3","109580457","109580457","GMCSF_e","1"
"4","109580457","109580457","IC_e","1"
"5","109580457","109580457","IL10_e","1"
"6","109580457","109580457","IL10_out","1"
"7","109580457","109580457","IL10R","1"
"8","109580457","109580457","IL12_out","0"
"9","109580457","109580457","IL1B_e","1"
"10","109580457","109580457","IL1R","1"
"11","109580457","109580457","IL4_e","0"
"12","109580457","109580457","KLF4","1"
"13","109580457","109580457","LPS_e","0"
"14","109580457","109580457","NECA_e","1"
"15","109580457","109580457","NFKB","0"
"16","109580457","109580457","PPARG","1"
"17","109580457","109580457","SOCS3","1"
"18","109580457","109580457","STAT3_IL10","1"
"19","109580457","109580457","STAT5","1"
"20","109580457","109580457","TLR4","0"
"21","109580457","109580457","VEGF_out","1"
"22","109580457","109580713/109711529/109596841","IL6_e","1"
"23","109580457","109590145","IFNG_e","0"
"24","109580457","109590145","SOCS1","0"
"25","109580457","109590145","STAT1","0"
"26","109580457","109590145","STAT6","1"
"27","109580457","109597097/109711785/109727913","IL6_out","1"
"28","109580457","109597097/109711785/109727913","IL6R","1"
"29","109580457","109597097/109711785/109727913","STAT3_IL6","1"
"30","109580713","109580457","IL10R","1"
"31","109580713","109580457","IL6_out","0"
"32","109580713","109580457","KLF4","1"
"33","109580713","109580457","LPS_e","0"
"34","109580713","109580457","PPARG","1"
"35","109580713","109580457","SOCS3","1"
"36","109580713","109580457","STAT3_IL10","1"
"37","109580713","109580457","TLR4","0"
"38","109580713","109580713/109711529/109596841","EGFR_e","0"
"39","109580713","109580713/109711529/109596841","FCGR","1"
"40","109580713","109580713/109711529/109596841","GMCSF_e","1"
"41","109580713","109580713/109711529/109596841","IC_e","1"
"42","109580713","109580713/109711529/109596841","IL10_e","1"
"43","109580713","109580713/109711529/109596841","IL10_out","1"
"44","109580713","109580713/109711529/109596841","IL12_out","0"
"45","109580713","109580713/109711529/109596841","IL1B_e","1"
"46","109580713","109580713/109711529/109596841","IL1R","1"
"47","109580713","109580713/109711529/109596841","IL4_e","0"
"48","109580713","109580713/109711529/109596841","IL6_e","1"
"49","109580713","109580713/109711529/109596841","NECA_e","1"
"50","109580713","109580713/109711529/109596841","NFKB","0"
"51","109580713","109580713/109711529/109596841","STAT5","1"
"52","109580713","109580713/109711529/109596841","VEGF_out","1"
"53","109580713","109590145","IFNG_e","0"
"54","109580713","109590145","SOCS1","0"
"55","109580713","109590145","STAT1","0"
"56","109580713","109590145","STAT6","1"
"57","109580713","109597097/109711785/109727913","IL6R","1"
"58","109580713","109728169","STAT3_IL6","1"
"59","109590145","109580457","IL4_e","0"
"60","109590145","109580457","STAT6","0"
"61","109590145","109590145","EGFR_e","0"
"62","109590145","109590145","FCGR","1"
"63","109590145","109590145","GMCSF_e","1"
"64","109590145","109590145","IC_e","1"
"65","109590145","109590145","IL10_e","1"
"66","109590145","109590145","IL10_out","1"
"67","109590145","109590145","IL10R","1"
"68","109590145","109590145","IL12_out","1"
"69","109590145","109590145","IL1B_e","1"
"70","109590145","109590145","IL1R","1"
"71","109590145","109590145","IL6_e","1"
"72","109590145","109590145","IL6_out","1"
"73","109590145","109590145","IL6R","1"
"74","109590145","109590145","KLF4","0"
"75","109590145","109590145","LPS_e","0"
"76","109590145","109590145","NECA_e","1"
"77","109590145","109590145","NFKB","1"
"78","109590145","109590145","PPARG","0"
"79","109590145","109590145","SOCS1","0"
"80","109590145","109590145","SOCS3","1"
"81","109590145","109590145","STAT3_IL10","1"
"82","109590145","109590145","STAT3_IL6","1"
"83","109590145","109590145","STAT5","1"
"84","109590145","109590145","TLR4","0"
"85","109590145","109590145","VEGF_out","1"
"86","109590145","109887104","IFNG_e","0"
"87","109590145","109887104","STAT1","0"
"88","109596841","109580457","EGFR_e","0"
"89","109596841","109580457","FCGR","1"
"90","109596841","109580457","IC_e","1"
"91","109596841","109580457","IL10_e","1"
"92","109596841","109580457","IL10_out","1"
"93","109596841","109580457","IL10R","1"
"94","109596841","109580457","NFKB","0"
"95","109596841","109580457","SOCS3","1"
"96","109596841","109580457","STAT3_IL6","0"
"97","109596841","109580713/109711529/109596841","GMCSF_e","1"
"98","109596841","109580713/109711529/109596841","IL12_out","0"
"99","109596841","109580713/109711529/109596841","IL1B_e","1"
"100","109596841","109580713/109711529/109596841","IL1R","1"
"101","109596841","109580713/109711529/109596841","IL4_e","0"
"102","109596841","109580713/109711529/109596841","KLF4","1"
"103","109596841","109580713/109711529/109596841","LPS_e","0"
"104","109596841","109580713/109711529/109596841","NECA_e","1"
"105","109596841","109580713/109711529/109596841","PPARG","1"
"106","109596841","109580713/109711529/109596841","STAT3_IL10","1"
"107","109596841","109580713/109711529/109596841","STAT5","1"
"108","109596841","109580713/109711529/109596841","TLR4","0"
"109","109596841","109580713/109711529/109596841","VEGF_out","1"
"110","109596841","109590145","IFNG_e","0"
"111","109596841","109590145","SOCS1","0"
"112","109596841","109590145","STAT1","0"
"113","109596841","109590145","STAT6","1"
"114","109596841","109597097/109711785/109727913","IL6_e","1"
"115","109596841","109597097/109711785/109727913","IL6_out","1"
"116","109596841","109728169","IL6R","1"
"117","109597097","109580457","IL10R","1"
"118","109597097","109580457","IL6_out","0"
"119","109597097","109580457","SOCS3","1"
"120","109597097","109580713/109711529/109596841","EGFR_e","0"
"121","109597097","109580713/109711529/109596841","FCGR","1"
"122","109597097","109580713/109711529/109596841","IC_e","1"
"123","109597097","109580713/109711529/109596841","IL10_e","1"
"124","109597097","109580713/109711529/109596841","IL10_out","1"
"125","109597097","109580713/109711529/109596841","KLF4","1"
"126","109597097","109580713/109711529/109596841","LPS_e","0"
"127","109597097","109580713/109711529/109596841","NFKB","0"
"128","109597097","109580713/109711529/109596841","PPARG","1"
"129","109597097","109580713/109711529/109596841","STAT3_IL10","1"
"130","109597097","109580713/109711529/109596841","STAT3_IL6","0"
"131","109597097","109580713/109711529/109596841","TLR4","0"
"132","109597097","109590145","IFNG_e","0"
"133","109597097","109590145","SOCS1","0"
"134","109597097","109590145","STAT1","0"
"135","109597097","109590145","STAT6","1"
"136","109597097","109597097/109711785/109727913","GMCSF_e","1"
"137","109597097","109597097/109711785/109727913","IL12_out","0"
"138","109597097","109597097/109711785/109727913","IL1B_e","1"
"139","109597097","109597097/109711785/109727913","IL1R","1"
"140","109597097","109597097/109711785/109727913","IL4_e","0"
"141","109597097","109597097/109711785/109727913","IL6_e","1"
"142","109597097","109597097/109711785/109727913","NECA_e","1"
"143","109597097","109597097/109711785/109727913","STAT5","1"
"144","109597097","109597097/109711785/109727913","VEGF_out","1"
"145","109597097","109728169","IL6R","1"
"146","109711529","109580457","IL10_out","1"
"147","109711529","109580457","IL6R","0"
"148","109711529","109580457","KLF4","1"
"149","109711529","109580457","NFKB","0"
"150","109711529","109580457","PPARG","1"
"151","109711529","109580457","STAT3_IL10","1"
"152","109711529","109580457","TLR4","0"
"153","109711529","109580713/109711529/109596841","EGFR_e","0"
"154","109711529","109580713/109711529/109596841","FCGR","1"
"155","109711529","109580713/109711529/109596841","GMCSF_e","1"
"156","109711529","109580713/109711529/109596841","IC_e","1"
"157","109711529","109580713/109711529/109596841","IL10_e","1"
"158","109711529","109580713/109711529/109596841","IL10R","1"
"159","109711529","109580713/109711529/109596841","IL12_out","0"
"160","109711529","109580713/109711529/109596841","IL1B_e","1"
"161","109711529","109580713/109711529/109596841","IL1R","1"
"162","109711529","109580713/109711529/109596841","IL4_e","0"
"163","109711529","109580713/109711529/109596841","LPS_e","0"
"164","109711529","109580713/109711529/109596841","NECA_e","1"
"165","109711529","109580713/109711529/109596841","SOCS3","1"
"166","109711529","109580713/109711529/109596841","STAT5","1"
"167","109711529","109580713/109711529/109596841","VEGF_out","1"
"168","109711529","109590145","IFNG_e","0"
"169","109711529","109590145","SOCS1","0"
"170","109711529","109590145","STAT1","0"
"171","109711529","109590145","STAT6","1"
"172","109711529","109597097/109711785/109727913","IL6_e","1"
"173","109711529","109597097/109711785/109727913","STAT3_IL6","1"
"174","109711529","109728169","IL6_out","1"
"175","109711785","109580457","IL6R","0"
"176","109711785","109580457","KLF4","1"
"177","109711785","109580457","PPARG","1"
"178","109711785","109580457","STAT3_IL10","1"
"179","109711785","109580457","TLR4","0"
"180","109711785","109580713/109711529/109596841","IL10_out","1"
"181","109711785","109580713/109711529/109596841","IL10R","1"
"182","109711785","109580713/109711529/109596841","IL6_out","0"
"183","109711785","109580713/109711529/109596841","LPS_e","0"
"184","109711785","109580713/109711529/109596841","NFKB","0"
"185","109711785","109580713/109711529/109596841","SOCS3","1"
"186","109711785","109590145","IFNG_e","0"
"187","109711785","109590145","SOCS1","0"
"188","109711785","109590145","STAT1","0"
"189","109711785","109590145","STAT6","1"
"190","109711785","109597097/109711785/109727913","EGFR_e","0"
"191","109711785","109597097/109711785/109727913","FCGR","1"
"192","109711785","109597097/109711785/109727913","GMCSF_e","1"
"193","109711785","109597097/109711785/109727913","IC_e","1"
"194","109711785","109597097/109711785/109727913","IL10_e","1"
"195","109711785","109597097/109711785/109727913","IL12_out","0"
"196","109711785","109597097/109711785/109727913","IL1B_e","1"
"197","109711785","109597097/109711785/109727913","IL1R","1"
"198","109711785","109597097/109711785/109727913","IL4_e","0"
"199","109711785","109597097/109711785/109727913","IL6_e","1"
"200","109711785","109597097/109711785/109727913","NECA_e","1"
"201","109711785","109597097/109711785/109727913","STAT5","1"
"202","109711785","109597097/109711785/109727913","VEGF_out","1"
"203","109711785","109728169","STAT3_IL6","1"
"204","109727913","109580457","IL10_out","1"
"205","109727913","109580457","NFKB","0"
"206","109727913","109580457","STAT3_IL6","0"
"207","109727913","109580713/109711529/109596841","EGFR_e","0"
"208","109727913","109580713/109711529/109596841","FCGR","1"
"209","109727913","109580713/109711529/109596841","IC_e","1"
"210","109727913","109580713/109711529/109596841","IL10_e","1"
"211","109727913","109580713/109711529/109596841","IL10R","1"
"212","109727913","109580713/109711529/109596841","IL6R","0"
"213","109727913","109580713/109711529/109596841","KLF4","1"
"214","109727913","109580713/109711529/109596841","PPARG","1"
"215","109727913","109580713/109711529/109596841","SOCS3","1"
"216","109727913","109580713/109711529/109596841","STAT3_IL10","1"
"217","109727913","109580713/109711529/109596841","TLR4","0"
"218","109727913","109590145","IFNG_e","0"
"219","109727913","109590145","SOCS1","0"
"220","109727913","109590145","STAT1","0"
"221","109727913","109590145","STAT6","1"
"222","109727913","109597097/109711785/109727913","GMCSF_e","1"
"223","109727913","109597097/109711785/109727913","IL12_out","0"
"224","109727913","109597097/109711785/109727913","IL1B_e","1"
"225","109727913","109597097/109711785/109727913","IL1R","1"
"226","109727913","109597097/109711785/109727913","IL4_e","0"
"227","109727913","109597097/109711785/109727913","LPS_e","0"
"228","109727913","109597097/109711785/109727913","NECA_e","1"
"229","109727913","109597097/109711785/109727913","STAT5","1"
"230","109727913","109597097/109711785/109727913","VEGF_out","1"
"231","109727913","109728169","IL6_e","1"
"232","109727913","109728169","IL6_out","1"
"233","109728169","109580713/109711529/109596841","IL10_out","1"
"234","109728169","109580713/109711529/109596841","IL10R","1"
"235","109728169","109580713/109711529/109596841","IL6_out","0"
"236","109728169","109580713/109711529/109596841","IL6R","0"
"237","109728169","109580713/109711529/109596841","KLF4","1"
"238","109728169","109580713/109711529/109596841","NFKB","0"
"239","109728169","109580713/109711529/109596841","PPARG","1"
"240","109728169","109580713/109711529/109596841","SOCS3","1"
"241","109728169","109580713/109711529/109596841","STAT3_IL10","1"
"242","109728169","109580713/109711529/109596841","STAT3_IL6","0"
"243","109728169","109580713/109711529/109596841","TLR4","0"
"244","109728169","109590145","IFNG_e","0"
"245","109728169","109590145","SOCS1","0"
"246","109728169","109590145","STAT1","0"
"247","109728169","109590145","STAT6","1"
"248","109728169","109597097/109711785/109727913","EGFR_e","0"
"249","109728169","109597097/109711785/109727913","FCGR","1"
"250","109728169","109597097/109711785/109727913","IC_e","1"
"251","109728169","109597097/109711785/109727913","IL10_e","1"
"252","109728169","109597097/109711785/109727913","LPS_e","0"
"253","109728169","109728169","GMCSF_e","1"
"254","109728169","109728169","IL12_out","0"
"255","109728169","109728169","IL1B_e","1"
"256","109728169","109728169","IL1R","1"
"257","109728169","109728169","IL4_e","0"
"258","109728169","109728169","IL6_e","1"
"259","109728169","109728169","NECA_e","1"
"260","109728169","109728169","STAT5","1"
"261","109728169","109728169","VEGF_out","1"
"262","109887104","109590145","IL4_e","0"
"263","109887104","109590145","SOCS1","0"
"264","109887104","109590145","STAT1","1"
"265","109887104","109590145","STAT6","0"
"266","109887104","109887104","EGFR_e","0"
"267","109887104","109887104","FCGR","1"
"268","109887104","109887104","GMCSF_e","1"
"269","109887104","109887104","IC_e","1"
"270","109887104","109887104","IFNG_e","0"
"271","109887104","109887104","IL10_e","1"
"272","109887104","109887104","IL10_out","0"
"273","109887104","109887104","IL10R","0"
"274","109887104","109887104","IL12_out","1"
"275","109887104","109887104","IL1B_e","1"
"276","109887104","109887104","IL1R","1"
"277","109887104","109887104","IL6_e","1"
"278","109887104","109887104","IL6_out","1"
"279","109887104","109887104","IL6R","1"
"280","109887104","109887104","KLF4","0"
