"","initial","final","genes","values"
"1","10031273","10031273","EGFR_e","1"
"2","10031273","10031273","FCGR","1"
"3","10031273","10031273","GMCSF_e","0"
"4","10031273","10031273","IC_e","1"
"5","10031273","10031273","IL10_e","1"
"6","10031273","10031273","IL10_out","1"
"7","10031273","10031273","IL10R","1"
"8","10031273","10031273","IL12_out","0"
"9","10031273","10031273","IL1B_e","1"
"10","10031273","10031273","IL1R","1"
"11","10031273","10031273","IL4_e","1"
"12","10031273","10031273","IL6_e","1"
"13","10031273","10031273","IL6_out","1"
"14","10031273","10031273","IL6R","1"
"15","10031273","10031273","KLF4","1"
"16","10031273","10031273","LPS_e","0"
"17","10031273","10031273","NECA_e","1"
"18","10031273","10031273","NFKB","0"
"19","10031273","10031273","PPARG","1"
"20","10031273","10031273","SOCS3","0"
"21","10031273","10031273","STAT3_IL10","1"
"22","10031273","10031273","STAT3_IL6","1"
"23","10031273","10031273","STAT6","1"
"24","10031273","10031273","TLR4","0"
"25","10031273","10031273","VEGF_out","1"
"26","10031273","10031275","IFNG_e","0"
"27","10031273","10031275","SOCS1","0"
"28","10031273","10031275","STAT1","0"
"29","10031273","10031275","STAT5","1"
"30","10031275","10031273","GMCSF_e","0"
"31","10031275","10031273","IL10_e","1"
"32","10031275","10031273","IL10_out","1"
"33","10031275","10031273","IL10R","1"
"34","10031275","10031273","STAT3_IL10","1"
"35","10031275","10031273","STAT5","0"
"36","10031275","10031275","EGFR_e","1"
"37","10031275","10031275","FCGR","1"
"38","10031275","10031275","IC_e","1"
"39","10031275","10031275","IL12_out","0"
"40","10031275","10031275","IL1B_e","1"
"41","10031275","10031275","IL1R","1"
"42","10031275","10031275","IL4_e","1"
"43","10031275","10031275","IL6_e","1"
"44","10031275","10031275","IL6_out","1"
"45","10031275","10031275","IL6R","1"
"46","10031275","10031275","KLF4","1"
"47","10031275","10031275","LPS_e","0"
"48","10031275","10031275","NECA_e","1"
"49","10031275","10031275","NFKB","0"
"50","10031275","10031275","PPARG","1"
"51","10031275","10031275","SOCS1","0"
"52","10031275","10031275","SOCS3","0"
"53","10031275","10031275","STAT3_IL6","1"
"54","10031275","10031275","STAT6","1"
"55","10031275","10031275","TLR4","0"
"56","10031275","10031275","VEGF_out","1"
"57","10031275","9965730","IFNG_e","0"
"58","10031275","9965730","STAT1","0"
"59","10324096","10031273","EGFR_e","1"
"60","10324096","10031273","FCGR","1"
"61","10324096","10031273","IC_e","1"
"62","10324096","10031273","IL10_out","0"
"63","10324096","10031273","IL10R","0"
"64","10324096","10031273","SOCS3","0"
"65","10324096","10031273","STAT1","1"
"66","10324096","10031273","STAT3_IL10","0"
"67","10324096","10324096","GMCSF_e","0"
"68","10324096","10324096","IFNG_e","0"
"69","10324096","10324096","IL10_e","1"
"70","10324096","10324096","IL12_out","1"
"71","10324096","10324096","IL1B_e","1"
"72","10324096","10324096","IL1R","1"
"73","10324096","10324096","IL4_e","1"
"74","10324096","10324096","IL6_e","1"
"75","10324096","10324096","IL6_out","1"
"76","10324096","10324096","IL6R","1"
"77","10324096","10324096","KLF4","1"
"78","10324096","10324096","LPS_e","0"
"79","10324096","10324096","NECA_e","1"
"80","10324096","10324096","NFKB","1"
"81","10324096","10324096","PPARG","1"
"82","10324096","10324096","SOCS1","1"
"83","10324096","10324096","STAT3_IL6","1"
"84","10324096","10324096","STAT5","1"
"85","10324096","10324096","STAT6","1"
"86","10324096","10324096","TLR4","0"
"87","10324096","10324096","VEGF_out","1"
"88","43520162","43520162","EGFR_e","0"
"89","43520162","43520162","IFNG_e","0"
"90","43520162","43520162","IL12_out","1"
"91","43520162","43520162","IL1B_e","1"
"92","43520162","43520162","IL1R","1"
"93","43520162","43520162","IL4_e","1"
"94","43520162","43520162","KLF4","1"
"95","43520162","43520162","LPS_e","0"
"96","43520162","43520162","NECA_e","1"
"97","43520162","43520162","NFKB","0"
"98","43520162","43520162","PPARG","1"
"99","43520162","43520162","SOCS3","1"
"100","43520162","43520162","TLR4","0"
"101","43520162","43520162","VEGF_out","1"
"102","43520162","43520169","FCGR","1"
"103","43520162","43520169","IC_e","1"
"104","43520162","43520169","IL10_e","1"
"105","43520162","43520169","IL10_out","1"
"106","43520162","43520169","IL10R","1"
"107","43520162","43520169","STAT3_IL10","1"
"108","43520162","43520169","STAT6","1"
"109","43520162","43520171","GMCSF_e","0"
"110","43520162","43520171","SOCS1","0"
"111","43520162","43520171","STAT1","1"
"112","43520162","43520171","STAT5","0"
"113","43520162","43520418/43651234/43536546","IL6_e","1"
"114","43520162","43536802/43651490/43667618","IL6_out","1"
"115","43520162","43536802/43651490/43667618","IL6R","1"
"116","43520162","43536802/43651490/43667618","STAT3_IL6","1"
"117","43520169","43520169","EGFR_e","0"
"118","43520169","43520169","FCGR","1"
"119","43520169","43520169","GMCSF_e","0"
"120","43520169","43520169","IC_e","1"
"121","43520169","43520169","IL10_e","1"
"122","43520169","43520169","IL10_out","1"
"123","43520169","43520169","IL10R","1"
"124","43520169","43520169","IL12_out","0"
"125","43520169","43520169","IL1B_e","1"
"126","43520169","43520169","IL1R","1"
"127","43520169","43520169","IL4_e","1"
"128","43520169","43520169","KLF4","1"
"129","43520169","43520169","LPS_e","0"
"130","43520169","43520169","NECA_e","1"
"131","43520169","43520169","NFKB","0"
"132","43520169","43520169","PPARG","1"
"133","43520169","43520169","SOCS3","1"
"134","43520169","43520169","STAT3_IL10","1"
"135","43520169","43520169","STAT6","1"
"136","43520169","43520169","TLR4","0"
"137","43520169","43520169","VEGF_out","1"
"138","43520169","43520171","IFNG_e","0"
"139","43520169","43520171","SOCS1","0"
"140","43520169","43520171","STAT1","0"
"141","43520169","43520171","STAT5","1"
"142","43520169","43520425/43651241/43536553","IL6_e","1"
"143","43520169","43536809/43651497/43667625","IL6_out","1"
"144","43520169","43536809/43651497/43667625","IL6R","1"
"145","43520169","43536809/43651497/43667625","STAT3_IL6","1"
"146","43520171","43520162","IFNG_e","0"
"147","43520171","43520162","STAT1","0"
"148","43520171","43520169","GMCSF_e","0"
"149","43520171","43520169","IL10_e","1"
"150","43520171","43520169","IL10_out","1"
"151","43520171","43520169","IL10R","1"
"152","43520171","43520169","STAT3_IL10","1"
"153","43520171","43520169","STAT5","0"
"154","43520171","43520171","EGFR_e","0"
"155","43520171","43520171","FCGR","1"
"156","43520171","43520171","IC_e","1"
"157","43520171","43520171","IL12_out","0"
"158","43520171","43520171","IL1B_e","1"
"159","43520171","43520171","IL1R","1"
"160","43520171","43520171","IL4_e","1"
"161","43520171","43520171","KLF4","1"
"162","43520171","43520171","LPS_e","0"
"163","43520171","43520171","NECA_e","1"
"164","43520171","43520171","NFKB","0"
"165","43520171","43520171","PPARG","1"
"166","43520171","43520171","SOCS1","0"
"167","43520171","43520171","SOCS3","1"
"168","43520171","43520171","STAT6","1"
"169","43520171","43520171","TLR4","0"
"170","43520171","43520171","VEGF_out","1"
"171","43520171","43520427/43651243/43536555","IL6_e","1"
"172","43520171","43536811/43651499/43667627","IL6_out","1"
"173","43520171","43536811/43651499/43667627","IL6R","1"
"174","43520171","43536811/43651499/43667627","STAT3_IL6","1"
"175","43520418","43520162","IL6_out","0"
"176","43520418","43520162","KLF4","1"
"177","43520418","43520162","LPS_e","0"
"178","43520418","43520162","PPARG","1"
"179","43520418","43520162","SOCS3","1"
"180","43520418","43520162","TLR4","0"
"181","43520418","43520169","FCGR","1"
"182","43520418","43520169","IC_e","1"
"183","43520418","43520169","IL10R","1"
"184","43520418","43520169","STAT3_IL10","1"
"185","43520418","43520169","STAT6","1"
"186","43520418","43520418/43651234/43536546","EGFR_e","0"
"187","43520418","43520418/43651234/43536546","IFNG_e","0"
"188","43520418","43520418/43651234/43536546","IL12_out","1"
"189","43520418","43520418/43651234/43536546","IL1B_e","1"
"190","43520418","43520418/43651234/43536546","IL1R","1"
"191","43520418","43520418/43651234/43536546","IL4_e","1"
"192","43520418","43520418/43651234/43536546","IL6_e","1"
"193","43520418","43520418/43651234/43536546","NECA_e","1"
"194","43520418","43520418/43651234/43536546","NFKB","0"
"195","43520418","43520418/43651234/43536546","VEGF_out","1"
"196","43520418","43520425/43651241/43536553","IL10_e","1"
"197","43520418","43520425/43651241/43536553","IL10_out","1"
"198","43520418","43520427/43651243/43536555","GMCSF_e","0"
"199","43520418","43520427/43651243/43536555","SOCS1","0"
"200","43520418","43520427/43651243/43536555","STAT1","1"
"201","43520418","43520427/43651243/43536555","STAT5","0"
"202","43520418","43536802/43651490/43667618","IL6R","1"
"203","43520418","43667874","STAT3_IL6","1"
"204","43520425","43520169","IL10R","1"
"205","43520425","43520169","IL6_out","0"
"206","43520425","43520169","KLF4","1"
"207","43520425","43520169","LPS_e","0"
"208","43520425","43520169","PPARG","1"
"209","43520425","43520169","SOCS3","1"
"210","43520425","43520169","STAT3_IL10","1"
"211","43520425","43520169","STAT6","1"
"212","43520425","43520169","TLR4","0"
"213","43520425","43520425/43651241/43536553","EGFR_e","0"
"214","43520425","43520425/43651241/43536553","FCGR","1"
"215","43520425","43520425/43651241/43536553","GMCSF_e","0"
"216","43520425","43520425/43651241/43536553","IC_e","1"
"217","43520425","43520425/43651241/43536553","IL10_e","1"
"218","43520425","43520425/43651241/43536553","IL10_out","1"
"219","43520425","43520425/43651241/43536553","IL12_out","0"
"220","43520425","43520425/43651241/43536553","IL1B_e","1"
"221","43520425","43520425/43651241/43536553","IL1R","1"
"222","43520425","43520425/43651241/43536553","IL4_e","1"
"223","43520425","43520425/43651241/43536553","IL6_e","1"
"224","43520425","43520425/43651241/43536553","NECA_e","1"
"225","43520425","43520425/43651241/43536553","NFKB","0"
"226","43520425","43520425/43651241/43536553","VEGF_out","1"
"227","43520425","43520427/43651243/43536555","IFNG_e","0"
"228","43520425","43520427/43651243/43536555","SOCS1","0"
"229","43520425","43520427/43651243/43536555","STAT1","0"
"230","43520425","43520427/43651243/43536555","STAT5","1"
"231","43520425","43536809/43651497/43667625","IL6R","1"
"232","43520425","43667881","STAT3_IL6","1"
"233","43520427","43520169","IL10R","1"
"234","43520427","43520169","STAT3_IL10","1"
"235","43520427","43520171","IL6_out","0"
"236","43520427","43520171","KLF4","1"
"237","43520427","43520171","LPS_e","0"
"238","43520427","43520171","PPARG","1"
"239","43520427","43520171","SOCS3","1"
"240","43520427","43520171","STAT6","1"
"241","43520427","43520171","TLR4","0"
"242","43520427","43520418/43651234/43536546","IFNG_e","0"
"243","43520427","43520418/43651234/43536546","STAT1","0"
"244","43520427","43520425/43651241/43536553","GMCSF_e","0"
"245","43520427","43520425/43651241/43536553","IL10_e","1"
"246","43520427","43520425/43651241/43536553","IL10_out","1"
"247","43520427","43520425/43651241/43536553","STAT5","0"
"248","43520427","43520427/43651243/43536555","EGFR_e","0"
"249","43520427","43520427/43651243/43536555","FCGR","1"
"250","43520427","43520427/43651243/43536555","IC_e","1"
"251","43520427","43520427/43651243/43536555","IL12_out","0"
"252","43520427","43520427/43651243/43536555","IL1B_e","1"
