targets,factors
IFNGR,IFNG_e
STAT1,IFNGR & ! SOCS1
CSF2Ra,GMCSF_e
STAT5,CSF2Ra & ! STAT3_IL10
IL1R,IL1B_e | IL1B
IL1B,NFKB
IL12_out,(STAT1 | STAT5 | NFKB) & ! STAT3_IL10
FCGR,(IC_e & LPS_e) | (IC_e & IL1B_e)
NFKB,(IL1R | TLR4 | FCGR) & ! ( PPARG | STAT3_IL10| KLF4 | SOCS1)
ERK,FCGR
VEGF_out,HIF1a
TLR4,LPS_e & ! FCGR
A2aR,NECA
HIF1a,TLR4 & A2aR
IRF3,TLR4
IL6_out,NFKB | STAT3_IL6
KLF4,STAT6
IL4Ra,IL4_e
STAT6,IL4Ra
JMJD3,STAT6 | JMJD3
IRF4,JMJD3
IL10_out,PPARG | STAT6 | STAT3_IL10 | ERK
SOCS1,STAT6
PPARG,STAT6 | PPARG
IL6R,IL6_e | IL6_out
STAT3_IL6,IL6R & ! SOCS3
IL10R,IL10_e | IL10_out
STAT3_IL10,IL10R & ! (FCGR)
SOCS3,STAT3_IL6 | STAT3_IL10
