label,WT,STAT1_0,STAT5_0,IL1R_0,IL12_out_0,FCGR_0,NFKB_0,VEGF_out_0,TLR4_0,IL6_out_0,KLF4_0,STAT6_0,IL10_out_0,SOCS1_0,PPARG_0,STAT3_IL6_0,STAT3_IL10_0,SOCS3_0,IL6R_0,IL10R_0,IFNG_e_0,GMCSF_e_0,IL1B_e_0,IC_e_0,LPS_e_0,NECA_e_0,EGFR_e_0,IL4_e_0,IL6_e_0,IL10_e_0,STAT1_1,STAT5_1,IL1R_1,IL12_out_1,FCGR_1,NFKB_1,VEGF_out_1,TLR4_1,IL6_out_1,KLF4_1,STAT6_1,IL10_out_1,SOCS1_1,PPARG_1,STAT3_IL6_1,STAT3_IL10_1,SOCS3_1,IL6R_1,IL10R_1,IFNG_e_1,GMCSF_e_1,IL1B_e_1,IC_e_1,LPS_e_1,NECA_e_1,EGFR_e_1,IL4_e_1,IL6_e_1,IL10_e_1
M0,344,80,356,354,494,420,406,352,362,352,344,264,976,278,488,416,296,400,416,296,40,178,196,210,200,176,144,132,208,148,608,200,324,NA,192,152,NA,312,NA,406,424,NA,568,406,400,512,480,400,392,304,166,148,134,144,168,200,212,136,196
M0*,112,32,120,124,164,88,164,112,124,128,112,48,352,68,208,NA,176,NA,NA,176,16,60,64,44,64,56,112,24,NA,88,192,16,88,NA,128,NA,NA,88,NA,164,176,NA,272,164,NA,NA,NA,NA,48,96,52,48,68,48,56,NA,88,112,24
il6,16,32,16,8,88,32,NA,24,16,NA,16,32,64,16,16,NA,32,32,NA,32,16,8,4,16,8,12,NA,16,8,16,NA,16,32,NA,NA,112,NA,20,288,NA,NA,NA,NA,NA,48,NA,NA,48,NA,NA,8,12,NA,8,4,16,NA,8,NA
il6*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1,222,NA,144,212,NA,156,132,222,212,186,222,312,222,222,222,248,312,320,248,312,NA,72,90,78,90,111,62,156,160,156,444,300,242,570,352,440,NA,242,124,132,132,NA,132,132,248,NA,248,248,132,222,150,132,144,132,111,160,66,62,66
M1*,196,NA,144,184,NA,136,NA,196,184,NA,196,304,196,196,196,NA,272,NA,NA,272,NA,72,76,68,76,98,NA,152,NA,136,392,248,220,332,320,440,NA,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,196,124,120,128,120,98,NA,NA,NA,60
M2a,256,256,256,256,256,384,256,320,320,256,256,NA,NA,192,256,256,288,256,256,288,128,128,160,192,192,160,128,NA,128,128,NA,256,256,NA,NA,NA,NA,160,NA,256,512,416,256,256,256,256,256,256,256,128,128,96,64,64,96,128,256,128,128
M2a*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2b,48,96,48,48,48,NA,NA,48,48,NA,48,96,NA,48,48,NA,48,96,NA,48,48,24,16,NA,16,24,NA,48,24,24,NA,48,48,NA,128,112,NA,24,240,NA,NA,48,NA,NA,144,NA,NA,144,48,NA,24,32,48,32,24,48,NA,24,24
M2b*,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M2c,192,256,192,192,192,288,192,240,240,192,192,384,NA,192,192,192,NA,128,192,NA,128,96,120,144,144,120,128,192,96,96,NA,192,192,NA,NA,NA,NA,120,NA,192,NA,352,256,192,192,336,256,192,192,64,96,72,48,48,72,64,NA,96,96
