label,WT,STAT1_0,STAT5_0,IL1R_0,IL12_out_0,FCGR_0,NFKB_0,VEGF_out_0,TLR4_0,IL6_out_0,KLF4_0,STAT6_0,IL10_out_0,SOCS1_0,PPARG_0,STAT3_IL6_0,STAT3_IL10_0,SOCS3_0,IL6R_0,IL10R_0,IFNG_e_0,GMCSF_e_0,IL1B_e_0,IC_e_0,LPS_e_0,NECA_e_0,EGFR_e_0,IL4_e_0,IL6_e_0,IL10_e_0,STAT1_1,STAT5_1,IL1R_1,IL12_out_1,FCGR_1,NFKB_1,VEGF_out_1,TLR4_1,IL6_out_1,KLF4_1,STAT6_1,IL10_out_1,SOCS1_1,PPARG_1,STAT3_IL6_1,STAT3_IL10_1,SOCS3_1,IL6R_1,IL10R_1,IFNG_e_1,GMCSF_e_1,IL1B_e_1,IC_e_1,LPS_e_1,NECA_e_1,EGFR_e_1,IL4_e_1,IL6_e_1,IL10_e_1
M0,0.00,-0.13,0.05,0.02,0.14,0.06,0.16,0.01,0.02,0.05,0.00,-0.06,0.29,-0.01,0.02,0.08,-0.01,-0.02,0.08,-0.01,-0.13,0.05,0.06,0.06,0.07,0.01,0.02,-0.06,-0.01,-0.03,0.18,-0.09,-0.03,-0.18,-0.11,-0.12,-0.18,-0.04,-0.18,0.16,0.09,-0.18,-0.05,0.16,0.04,0.28,0.06,0.04,0.06,0.07,-0.03,-0.05,-0.05,-0.06,-0.01,-0.02,0.05,0.01,0.06
M0*,0.00,0.01,-0.01,0.01,0.00,0.00,0.02,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,-0.01,0.01,-0.01,-0.01,0.01,0.01,-0.01,0.01,0.00,0.01,0.00,0.02,0.00,-0.01,0.01,-0.01,0.00,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.02,-0.01,-0.01,0.01,0.02,-0.01,-0.01,-0.01,-0.01,-0.01,0.00,0.00,-0.01,0.00,-0.01,0.00,-0.01,0.00,0.02,-0.01
il6,0.00,0.01,-0.01,-0.01,0.07,0.01,-0.01,0.01,0.00,-0.01,0.00,0.00,0.04,0.00,0.00,-0.01,0.01,0.01,-0.01,0.01,0.01,-0.01,-0.01,0.01,0.00,0.01,-0.01,0.00,0.00,0.01,-0.01,0.00,0.01,-0.01,-0.01,0.03,-0.01,0.00,0.19,-0.01,-0.01,-0.01,0.01,-0.01,0.02,-0.01,-0.01,0.02,-0.01,0.00,0.00,0.00,-0.01,0.00,-0.01,0.01,0.00,0.00,-0.01
il6*,0.00,0.02,-0.01,-0.01,0.07,0.03,-0.02,0.01,0.00,-0.02,0.00,0.01,0.08,-0.01,0.00,-0.02,0.02,0.00,-0.02,0.02,0.02,-0.01,-0.01,0.03,0.00,0.01,0.00,0.01,0.00,0.01,-0.02,0.00,0.02,-0.02,-0.02,0.04,-0.02,0.00,0.03,-0.02,-0.02,-0.02,0.01,-0.02,-0.02,-0.02,-0.02,-0.02,-0.02,-0.01,0.01,0.01,-0.02,0.00,-0.01,0.00,-0.01,0.00,-0.02
M1,0.00,-0.20,-0.05,-0.01,-0.20,-0.05,-0.10,0.00,-0.01,0.01,0.00,-0.01,0.02,-0.05,-0.03,0.02,0.06,0.01,0.02,0.06,-0.20,-0.05,-0.04,-0.05,-0.04,0.00,-0.01,-0.01,0.00,0.02,0.28,-0.07,0.02,0.19,0.09,0.01,-0.20,0.02,0.00,-0.10,-0.11,-0.20,-0.08,-0.10,0.01,-0.20,-0.01,0.01,-0.04,0.12,0.02,0.03,0.05,0.03,0.00,0.01,0.01,0.00,-0.04
M1*,0.00,-0.07,0.00,-0.01,-0.07,-0.02,-0.07,0.00,-0.01,-0.07,0.00,0.01,0.01,-0.03,-0.01,-0.07,0.02,0.05,-0.07,0.02,-0.07,0.00,-0.02,-0.02,-0.02,0.00,-0.07,0.01,0.05,0.00,0.09,-0.03,0.01,0.03,0.04,0.02,-0.07,0.01,-0.07,-0.07,-0.07,-0.07,-0.03,-0.07,-0.07,-0.07,-0.07,-0.07,-0.01,0.04,0.00,0.02,0.02,0.02,0.00,0.05,-0.01,-0.07,-0.01
M2a,0.00,0.03,0.03,0.00,0.00,0.05,0.02,0.02,0.02,0.02,0.00,-0.08,-0.08,0.03,-0.01,0.02,0.03,-0.01,0.02,0.03,0.03,0.03,0.03,0.05,0.05,0.02,0.01,-0.08,-0.01,-0.02,-0.08,-0.02,0.00,-0.08,-0.08,-0.08,-0.08,-0.03,-0.08,0.02,0.19,0.09,-0.03,0.02,0.02,0.08,0.01,0.02,0.03,-0.02,-0.02,-0.02,-0.04,-0.04,-0.02,-0.01,0.06,0.01,0.03
M2a*,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M2b,0.00,0.02,-0.02,0.00,0.00,-0.04,-0.04,0.00,0.00,-0.04,0.00,0.01,-0.04,-0.01,-0.01,-0.04,0.00,0.03,-0.04,0.00,0.02,-0.02,-0.01,-0.04,-0.01,0.00,-0.04,0.01,-0.01,-0.01,-0.04,0.01,0.00,-0.04,0.05,0.00,-0.04,-0.02,0.08,-0.04,-0.04,0.01,0.02,-0.04,0.06,-0.04,-0.04,0.06,0.01,-0.01,0.01,0.01,0.03,0.01,0.00,0.03,-0.01,0.01,0.01
M2b*,0.00,0.07,-0.03,0.00,0.00,-0.06,-0.09,0.01,0.00,-0.09,0.00,0.04,-0.09,-0.01,-0.01,-0.09,-0.02,0.00,-0.09,-0.02,0.07,-0.03,-0.03,-0.06,-0.02,0.01,0.00,0.04,-0.01,-0.01,-0.09,0.04,0.01,-0.09,0.08,0.02,-0.09,-0.04,0.06,-0.09,-0.09,0.01,0.05,-0.09,-0.05,-0.09,-0.09,-0.05,0.01,-0.04,0.01,0.02,0.05,0.02,-0.01,0.00,-0.03,0.01,0.01
