"Source","Target","Interaction"
"STAT1","STAT1","+"
"SOCS1","STAT1","-"
"SOCS3","STAT1","-"
"IFNG_e","STAT1","+"
"STAT5","STAT5","+"
"SOCS1","STAT5","-"
"STAT3_IL10","STAT5","-"
"GMCSF_e","STAT5","+"
"IL1B_e","IL1R","+"
"STAT1","IL12_out","+"
"STAT5","IL12_out","+"
"NFKB","IL12_out","+"
"STAT3_IL10","IL12_out","-"
"IL1B_e","FCGR","+"
"IC_e","FCGR","+"
"LPS_e","FCGR","+"
"IL1R","NFKB","+"
"FCGR","NFKB","+"
"TLR4","NFKB","+"
"KLF4","NFKB","-"
"PPARG","NFKB","-"
"STAT3_IL10","NFKB","-"
"STAT1","VEGF_out","-"
"TLR4","VEGF_out","+"
"NECA_e","VEGF_out","+"
"FCGR","TLR4","-"
"LPS_e","TLR4","+"
"NFKB","IL6_out","+"
"STAT3_IL6","IL6_out","+"
"STAT6","KLF4","+"
"STAT6","STAT6","+"
"SOCS1","STAT6","-"
"IL4_e","STAT6","+"
"STAT1","IL10_out","-"
"FCGR","IL10_out","+"
"STAT6","IL10_out","+"
"PPARG","IL10_out","+"
"STAT3_IL10","IL10_out","+"
"STAT1","SOCS1","+"
"STAT5","SOCS1","+"
"STAT6","SOCS1","+"
"STAT6","PPARG","+"
"IL6R","STAT3_IL6","+"
"FCGR","STAT3_IL10","-"
"IL10R","STAT3_IL10","+"
"STAT1","SOCS3","+"
"STAT6","SOCS3","+"
"STAT3_IL6","SOCS3","+"
"STAT3_IL10","SOCS3","+"
"EGFR_e","SOCS3","-"
"IL6_out","IL6R","+"
"SOCS3","IL6R","-"
"IL6_e","IL6R","+"
"IL10_out","IL10R","+"
"IL10_e","IL10R","+"
"IFNG_e","IFNG_e","+"
"GMCSF_e","GMCSF_e","+"
"IL1B_e","IL1B_e","+"
"IC_e","IC_e","+"
"LPS_e","LPS_e","+"
"NECA_e","NECA_e","+"
"EGFR_e","EGFR_e","+"
"IL4_e","IL4_e","+"
"IL6_e","IL6_e","+"
"IL10_e","IL10_e","+"
